AtomicNumber,Element,AtomicMass,Phase,MeltingPoint,BoilingPoint
1,Hydrogen,1.007,gas,14.175,20.28
2,Helium,4.002,gas,,4.22
3,Lithium,6.941,solid,453.85,1615
4,Beryllium,9.012,solid,1560.15,2742
5,Boron,10.811,solid,2573.15,4200
6,Carbon,12.011,solid,3948.15,4300
7,Nitrogen,14.007,gas,63.29,77.36
8,Oxygen,15.999,gas,50.5,90.2
9,Fluorine,18.998,gas,53.63,85.03
10,Neon,20.18,gas,24.703,27.07
11,Sodium,22.99,solid,371.15,1156
12,Magnesium,24.305,solid,923.15,1363
13,Aluminum,26.982,solid,933.4,2792
14,Silicon,28.086,solid,1683.15,3538
15,Phosphorus,30.974,solid,317.25,553
16,Sulfur,32.065,solid,388.51,717.8
17,Chlorine,35.453,gas,172.31,239.11
18,Argon,39.948,gas,83.96,87.3
19,Potassium,39.098,solid,336.5,1032
20,Calcium,40.078,solid,1112.15,1757
21,Scandium,44.956,solid,1812.15,3109
22,Titanium,47.867,solid,1933.15,3560
23,Vanadium,50.942,solid,2175.15,3680
24,Chromium,51.996,solid,2130.15,2944
25,Manganese,54.938,solid,1519.15,2334
26,Iron,55.845,solid,1808.15,3134
27,Cobalt,58.933,solid,1768.15,3200
28,Nickel,58.693,solid,1726.15,3186
29,Copper,63.546,solid,1357.75,2835
30,Zinc,65.38,solid,692.88,1180
